DATE,MinTemp,MaxTemp,Rain
2013-06-1,18,20.3,0
2013-06-10,20.5,30.6,0
2013-06-11,20,31.3,0
2013-06-12,21.1,27.5,0.4
2013-06-13,16.7,25.6,0
2013-06-14,17.1,24.8,0
2013-06-15,18.1,26.9,0.6
2013-06-16,19.2,26.8,0
2013-06-17,18.9,24.5,0
2013-06-18,16.6,17.4,2.6
2013-06-19,11.9,25.6,10.4
2013-06-2,17.4,19,0
2013-06-20,11.8,25.1,0
2013-06-21,14.1,25.2,0
2013-06-22,13,26,0
2013-06-23,15.9,25.6,0
2013-06-24,15.3,19.1,25.6
2013-06-25,14.9,25.9,209.4
2013-06-26,17.6,25.6,0.2
2013-06-27,14.5,22.5,0
2013-06-28,11.7,24.6,0
2013-06-29,12.9,27,0
2013-06-3,14.8,19.5,19.2
2013-06-30,18,26.6,0
2013-06-4,16.1,24.1,3.2
2013-06-5,16.4,25.7,0
2013-06-6,15.2,27.3,0
2013-06-7,17.6,25.7,0
2013-06-8,17.9,25.9,0
2013-06-9,19.6,28.3,0
2013-07-1,18.3,26,0.4
2013-07-10,14.3,26.7,0
2013-07-11,17.7,28.1,0
2013-07-12,14.6,28.6,0
2013-07-13,12.7,26.2,0
2013-07-14,14.1,27.3,0
2013-07-15,17.2,29,0
2013-07-16,17.4,30.3,0
2013-07-17,17.8,27.2,0
2013-07-18,9.9,24,0
2013-07-19,10.2,22.6,0
2013-07-2,16.4,25.3,0
2013-07-20,13.8,22.1,0
2013-07-21,10,23.7,0
2013-07-22,11.3,24.8,0
2013-07-23,12.5,23.9,0
2013-07-24,17.5,25.5,0
2013-07-25,14.5,24.1,0
2013-07-26,10.9,25.7,0
2013-07-27,16.5,27.5,0
2013-07-28,11.6,28,0
2013-07-29,11.3,26.8,0
2013-07-3,15.5,25,0
2013-07-30,10.8,27.2,0
2013-07-31,12,27.9,0
2013-07-4,14.3,26.3,0
2013-07-5,13.4,25.4,0
2013-07-6,12.2,25.8,0
2013-07-7,12.7,27.3,0
2013-07-8,13.6,26.9,0
2013-07-9,12.1,24.1,0
2013-08-1,12.7,29,0
2013-08-10,12.1,30.6,0
2013-08-11,11.5,29.3,0
2013-08-12,13,27.1,0
2013-08-13,13.1,29,0
2013-08-14,13.4,28.4,0
2013-08-15,16,29.4,0
2013-08-16,16.7,29.8,0
2013-08-17,14.5,27.7,0
2013-08-18,13.2,29,0
2013-08-19,13.8,29.6,0
2013-08-2,12.7,30,0
2013-08-20,13.9,29.7,0
2013-08-21,14.1,28.8,0
2013-08-22,14.3,28.9,0
2013-08-23,12.8,28.2,0
2013-08-24,13.4,31,0
2013-08-25,16.3,28.3,0
2013-08-26,16.4,29,0
2013-08-27,16.8,29.1,0
2013-08-28,15,29.2,0
2013-08-29,14.5,25.9,0
2013-08-3,13.8,29,0
2013-08-30,14.8,27.1,0
2013-08-31,17.8,28.8,0
2013-08-4,13.5,28.9,0.2
2013-08-5,11.5,28.1,0
2013-08-6,10.1,29.7,0
2013-08-7,11,30.4,0
2013-08-8,11.6,31,0
2013-08-9,13.7,31.2,0
2013-09-1,18.1,29.8,0
2013-09-10,18.3,27.2,0
2013-09-11,19.1,28.9,0
2013-09-12,15.6,28.9,0
2013-09-13,14.7,30.2,0
2013-09-14,15.6,28.3,0
2013-09-15,15.1,27.4,
2013-09-16,12.5,29.3,
2013-09-17,14,31.4,0
2013-09-18,15.5,30.3,0
2013-09-19,12.9,31.2,0
2013-09-2,17.2,32.4,0
2013-09-20,14.5,29.3,0
2013-09-21,15,32.3,0
2013-09-22,18.3,27.2,0
2013-09-23,15.6,29.7,0
2013-09-24,17.9,30.2,0
2013-09-25,17.1,33.3,0
2013-09-26,19.3,34.1,0
2013-09-27,19.1,35.3,0
2013-09-28,16.4,32.1,0
2013-09-29,18.1,30.2,0
2013-09-3,20.1,36.2,0
2013-09-30,17.5,28.4,0
2013-09-4,21.5,36.5,0
2013-09-5,20,34.8,0
2013-09-6,20.2,30.8,0
2013-09-7,19.5,30.6,0
2013-09-8,17.2,33.1,0
2013-09-9,16.9,30.8,0
2013-10-1,18.6,29.3,0
2013-10-10,20.2,34.4,0
2013-10-11,19.5,35,0
2013-10-12,21.4,34.4,0
2013-10-13,19.9,36.3,0
2013-10-14,21.1,38.4,0
2013-10-15,22.5,38.7,0
2013-10-16,20.8,40.7,0
2013-10-17,20,34.6,0
2013-10-18,20.6,35.6,0
2013-10-19,22.3,40.6,0
2013-10-2,15.4,35.1,0
2013-10-20,22.2,35.5,0
2013-10-21,23,35.5,0
2013-10-22,23,34.3,0
2013-10-23,20.5,34.4,0
2013-10-24,21,37,0
2013-10-25,25.1,39.6,0
2013-10-26,26.1,32.6,0
2013-10-27,22.2,,6
2013-10-28,,,
2013-10-29,,33.8,
2013-10-3,18.1,36.9,0
2013-10-30,,36.3,
2013-10-31,23.7,33.5,0
2013-10-4,20.9,37.7,0
2013-10-5,19.9,38.3,0
2013-10-6,21.7,31.5,0
2013-10-7,18.5,30.9,0
2013-10-8,19.7,30,0
2013-10-9,19.6,35.6,0
2013-11-1,25.3,37.3,0
2013-11-10,22.2,36.3,0
2013-11-11,24.2,37.5,0
2013-11-12,24.5,37.2,0
2013-11-13,23.9,39.1,0
2013-11-14,22.9,41.4,0
2013-11-15,25.7,32.7,0
2013-11-16,26.3,34.2,0
2013-11-17,25.7,33,0
2013-11-18,24.6,35.3,0
2013-11-19,22.7,35.6,0
2013-11-2,26.5,33.6,0
2013-11-20,21.4,31.7,0
2013-11-21,20.4,30.9,0
2013-11-22,21.7,31.8,0
2013-11-23,21.3,31.1,0
2013-11-24,21.5,30.7,0
2013-11-25,21.8,30.9,0
2013-11-26,23.5,30.8,0
2013-11-27,22.3,30.1,0
2013-11-28,21.9,30.5,0
2013-11-29,22.7,30.2,0
2013-11-3,22.7,39,0
2013-11-30,22.9,33.5,0
2013-11-4,24.6,43.5,0
2013-11-5,26.5,44.8,0
2013-11-6,26,33,0
2013-11-7,23,36,0
2013-11-8,24.3,38.1,0
2013-11-9,22.9,37.2,0
2013-12-1,23.4,34.7,0
2013-12-10,25.4,37.3,0
2013-12-11,24.4,35.7,0
2013-12-12,25.4,38.4,0
2013-12-13,26.2,38.6,0
2013-12-14,28,41.4,0
2013-12-15,26.2,36.6,0
2013-12-16,25.9,36.6,0
2013-12-17,25.6,37.8,0
2013-12-18,28.2,36.4,0
2013-12-19,27.7,40.3,0
2013-12-2,23.2,30.3,0
2013-12-20,28.1,44,0
2013-12-21,27.6,43.5,0
2013-12-22,26.2,33.7,0
2013-12-23,23.3,33.9,0
2013-12-24,23.4,36.8,0
2013-12-25,26.6,36.8,0
2013-12-26,27.8,40.7,0
2013-12-27,28.2,43,0
2013-12-28,28.4,43.5,0
2013-12-29,29.2,37.1,0
2013-12-3,22.4,32.1,0
2013-12-30,30.2,31.9,0
2013-12-31,23.2,30.7,112.8
2013-12-4,23.9,32.1,0
2013-12-5,24.4,32.7,0
2013-12-6,25,32.8,0
2013-12-7,24.1,32.4,0
2013-12-8,24.1,33.2,0
2013-12-9,25.7,34.9,0
2014-01-1,23.3,31.6,2.4
2014-01-10,27.7,36,0
2014-01-11,29,36.6,0
2014-01-12,27.9,35.4,0
2014-01-13,27.1,36.4,0
2014-01-14,28.5,43.2,0
2014-01-15,27.2,40.6,0
2014-01-16,26.5,39,0
2014-01-17,27.5,39.2,0
2014-01-18,27.9,33.5,0
2014-01-19,26.2,32.6,0
2014-01-2,22.8,37,0
2014-01-20,27.1,33.6,0
2014-01-21,27.9,32.7,0.2
2014-01-22,26.7,30.5,0.2
2014-01-23,27.1,32.5,0
2014-01-24,26.5,33.2,0
2014-01-25,24.9,33.1,0
2014-01-26,26.6,36,0
2014-01-27,24.4,33.2,18.6
2014-01-28,23.1,33,24.6
2014-01-29,25,33.2,0
2014-01-3,24.7,35.9,0
2014-01-30,26.5,34.5,0
2014-01-31,25.8,34.5,0
2014-01-4,27.7,39.2,0
2014-01-5,26.6,42.7,0
2014-01-6,27.5,37.2,0
2014-01-7,28.3,37.4,0
2014-01-8,27.9,41.5,0
2014-01-9,27.8,39.6,0
2014-02-1,26.9,36.1,0
2014-02-10,30.7,38.9,0
2014-02-11,22.4,39.2,14.8
2014-02-12,28,33.1,0
2014-02-13,24.3,32.5,0
2014-02-14,24.6,34.7,0
2014-02-15,24.2,33.4,0
2014-02-16,24.3,34,0
2014-02-17,26.2,35.8,0
2014-02-18,27.1,39,0
2014-02-19,24.9,37.6,0
2014-02-2,27.4,35.5,0
2014-02-20,25,37.3,0
2014-02-21,23.4,38.5,0
2014-02-22,24.3,38.9,0
2014-02-23,24.1,38.3,0
2014-02-24,25,39,0
2014-02-25,24.3,40.6,0
2014-02-26,25.1,37.1,0
2014-02-27,27,38.8,0
2014-02-28,26.2,37.7,0
2014-02-3,28.8,35.7,0
2014-02-4,28.4,37.5,0
2014-02-5,28.5,40.4,0
2014-02-6,28.8,34.2,0
2014-02-7,28,40.4,0.2
2014-02-8,29.3,42.1,0
2014-02-9,30,40.4,0
2014-03-1,26.5,38.6,0
2014-03-10,28.9,38,0
2014-03-11,27.6,37.3,0
2014-03-12,28.2,41,0
2014-03-13,31,41.8,0
2014-03-14,29.1,38.6,0
2014-03-15,29.5,38.4,0
2014-03-16,30.6,36.8,0
2014-03-17,26.8,37.5,0
2014-03-18,26.3,38,0
2014-03-19,27.8,40.7,0
2014-03-2,23.7,40.5,0
2014-03-20,28.2,39.5,0
2014-03-21,26.6,37.6,0
2014-03-22,26.6,38.5,0
2014-03-23,26.4,42.3,0
2014-03-24,27.8,37.6,0
2014-03-25,28.6,38.1,0
2014-03-26,27.1,37.7,0
