"Daily Weather Observations for Karratha, Western Australia for June 2013"
"Prepared at 13:07 UTC on Thursday 12 June 2014   IDCJDW6064.201306"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-06-1,18.0,20.3,0,,,E,56,13:06,18.8,31,,E,35,1017.5,20.1,32,,ESE,35,1015.3
,2013-06-2,17.4,19.0,0,,,E,69,03:26,17.6,58,,E,35,1016.2,15.7,91,,E,22,1016.0
,2013-06-3,14.8,19.5,19.2,,,E,59,11:49,,,,ESE,28,1015.3,17.9,100,,ESE,19,1012.7
,2013-06-4,16.1,24.1,3.2,,,E,33,10:32,19.5,98,,ESE,20,1013.7,23.1,80,,E,19,1010.3
,2013-06-5,16.4,25.7,0,,,ESE,26,10:31,20.6,85,,S,19,1013.4,23.3,77,,NE,17,1009.8
,2013-06-6,15.2,27.3,0,,,ESE,54,11:35,20.6,76,,SE,24,1015.7,26.2,51,,E,28,1012.4
,2013-06-7,17.6,25.7,0,,,E,46,09:27,21.8,75,,E,33,1017.2,24.1,69,,ENE,24,1014.2
,2013-06-8,17.9,25.9,0,,,NE,39,12:22,22.8,74,,ESE,20,1016.9,25.0,68,,NE,17,1013.1
,2013-06-9,19.6,28.3,0,,,NE,33,13:04,25.0,69,,E,24,1014.7,27.3,58,,NE,22,1011.3
,2013-06-10,20.5,30.6,0,,,NE,35,13:02,26.9,67,,E,11,1014.2,27.5,55,,NE,20,1011.2
,2013-06-11,20.0,31.3,0,,,ESE,46,10:21,27.1,52,,ESE,22,1014.5,29.8,36,,ENE,24,1012.0
,2013-06-12,21.1,27.5,0.4,,,E,41,10:52,23.6,57,,ESE,28,1015.0,25.6,60,,NE,26,1011.8
,2013-06-13,16.7,25.6,0,,,E,37,10:56,22.6,48,,ESE,22,1014.6,24.2,52,,NE,20,1011.4
,2013-06-14,17.1,24.8,0,,,ENE,46,09:59,23.5,54,,ENE,30,1012.4,23.1,63,,NE,20,1010.0
,2013-06-15,18.1,26.9,0.6,,,SE,28,06:18,19.2,88,,ENE,15,1013.1,25.2,52,,NE,20,1009.8
,2013-06-16,19.2,26.8,0,,,NE,37,12:51,23.3,63,,E,20,1013.1,25.5,64,,NE,20,1010.3
,2013-06-17,18.9,24.5,0,,,ESE,43,09:32,23.2,47,,ESE,28,1012.6,24.4,42,,ESE,22,1010.8
,2013-06-18,16.6,17.4,2.6,,,ENE,41,08:07,16.8,83,,E,30,1013.6,,,,E,15,1013.4
,2013-06-19,11.9,25.6,10.4,,,ESE,35,10:01,17.3,79,,ESE,20,1016.4,23.7,59,,NE,24,1013.6
,2013-06-20,11.8,25.1,0,,,E,56,10:45,19.2,51,,ESE,30,1019.4,24.7,32,,E,24,1015.1
,2013-06-21,14.1,25.2,0,,,E,44,09:20,20.0,41,,E,28,1019.2,24.1,47,,ENE,28,1015.3
,2013-06-22,13.0,26.0,0,,,E,41,09:49,20.3,39,,E,30,1018.0,24.1,42,,NE,26,1014.5
,2013-06-23,15.9,25.6,0,,,E,44,10:09,21.5,41,,E,33,1014.8,22.8,57,,ENE,22,1012.3
,2013-06-24,15.3,19.1,25.6,,,ESE,41,20:55,15.5,97,,ENE,26,1013.1,,,,E,19,1011.0
,2013-06-25,14.9,25.9,209.4,,,E,28,00:03,19.1,,,SE,11,1010.8,25.0,88,,S,11,1008.3
,2013-06-26,17.6,25.6,0.2,,,E,30,23:54,20.7,83,,SSE,15,1013.8,24.5,74,,W,20,1011.1
,2013-06-27,14.5,22.5,0,,,ESE,39,10:42,17.5,78,,E,19,1016.4,21.8,60,,NNE,15,1012.6
,2013-06-28,11.7,24.6,0,,,E,39,10:22,18.9,64,,SE,24,1018.3,23.9,33,,ESE,17,1015.7
,2013-06-29,12.9,27.0,0,,,SE,52,10:21,20.4,54,,SE,28,1019.8,26.8,34,,ESE,26,1016.4
,2013-06-30,18.0,26.6,0,,,ESE,61,09:44,21.0,45,,ESE,41,1021.5,25.3,47,,E,35,1017.5
