"Daily Weather Observations for Karratha, Western Australia for July 2013"
"Prepared at 13:08 UTC on Wednesday 11 June 2014   IDCJDW6064.201307"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-07-1,18.3,26.0,0.4,,,E,56,09:06,20.9,38,,E,43,1019.3,24.1,44,,NE,26,1015.4
,2013-07-2,16.4,25.3,0,,,E,46,09:14,21.1,33,,E,35,1018.2,24.2,35,,NE,26,1015.0
,2013-07-3,15.5,25.0,0,,,E,35,09:06,21.7,38,,E,28,1018.7,23.8,37,,NE,22,1015.1
,2013-07-4,14.3,26.3,0,,,ENE,30,12:38,22.0,52,,SE,11,1017.9,25.6,28,,NNE,20,1014.0
,2013-07-5,13.4,25.4,0,,,ENE,35,11:44,21.7,49,,ESE,17,1018.0,24.9,40,,NE,22,1014.4
,2013-07-6,12.2,25.8,0,,,NE,28,14:38,20.6,57,,ENE,4,1018.2,24.4,34,,NNE,22,1014.6
,2013-07-7,12.7,27.3,0,,,W,24,17:21,20.1,69,,NNW,4,1017.3,26.6,25,,N,9,1014.0
,2013-07-8,13.6,26.9,0,,,S,30,12:11,20.6,40,,SE,13,1018.3,26.0,28,,NNE,13,1014.7
,2013-07-9,12.1,24.1,0,,,ENE,39,12:23,19.6,50,,ESE,19,1018.1,22.9,52,,NNE,22,1014.3
,2013-07-10,14.3,26.7,0,,,NE,26,13:49,21.5,64,,SSE,7,1014.6,24.8,51,,NE,19,1012.3
,2013-07-11,17.7,28.1,0,,,W,33,14:38,22.8,59,,WSW,11,1015.3,26.8,50,,W,24,1012.6
,2013-07-12,14.6,28.6,0,,,S,30,11:04,21.7,54,,S,22,1016.2,28.3,31,,SW,17,1012.3
,2013-07-13,12.7,26.2,0,,,NE,31,14:01,21.7,47,,E,9,1015.5,25.0,46,,NE,24,1012.7
,2013-07-14,14.1,27.3,0,,,NE,33,14:29,22.0,62,,ENE,7,1016.5,26.2,48,,NE,22,1014.1
,2013-07-15,17.2,29.0,0,,,ENE,28,07:44,23.6,70,,ENE,15,1018.4,28.6,34,,NE,17,1014.6
,2013-07-16,17.4,30.3,0,,,WSW,30,19:57,23.8,68,,WSW,9,1017.4,29.2,47,,WNW,19,1013.9
,2013-07-17,17.8,27.2,0,,,SSE,39,10:09,21.2,55,,S,24,1016.5,26.8,27,,S,7,1012.3
,2013-07-18,9.9,24.0,0,,,E,37,09:34,17.2,37,,ESE,22,1019.5,23.1,26,,WNW,7,1015.3
,2013-07-19,10.2,22.6,0,,,ESE,50,10:13,17.0,31,,ESE,37,1021.3,22.2,24,,SE,22,1017.3
,2013-07-20,13.8,22.1,0,,,ESE,61,08:36,16.3,36,,ESE,43,1022.2,21.2,24,,ESE,19,1016.8
,2013-07-21,10.0,23.7,0,,,E,39,10:03,17.0,34,,ESE,28,1019.1,22.5,33,,NE,13,1014.1
,2013-07-22,11.3,24.8,0,,,ENE,35,10:00,18.9,33,,E,24,1017.9,24.4,34,,NE,22,1014.1
,2013-07-23,12.5,23.9,0,,,ENE,39,09:39,21.8,41,,E,26,1018.0,22.3,69,,E,20,1016.4
,2013-07-24,17.5,25.5,0,,,ENE,44,11:41,23.7,53,,E,24,1020.0,24.0,63,,ENE,28,1017.6
,2013-07-25,14.5,24.1,0,,,ENE,41,12:11,21.2,37,,E,24,1020.8,23.3,41,,NE,26,1016.9
,2013-07-26,10.9,25.7,0,,,WSW,30,23:47,19.4,66,,ENE,11,1017.8,25.2,29,,NE,9,1015.3
,2013-07-27,16.5,27.5,0,,,SSW,33,12:40,20.7,64,,SSW,20,1018.1,27.0,18,,SSW,19,1014.2
,2013-07-28,11.6,28.0,0,,,ESE,33,09:12,20.6,38,,SE,20,1019.1,25.9,32,,NNE,19,1015.7
,2013-07-29,11.3,26.8,0,,,E,35,10:41,20.3,43,,ENE,9,1019.9,26.0,29,,NE,20,1015.7
,2013-07-30,10.8,27.2,0,,,E,31,10:19,21.9,34,,ESE,19,1017.7,26.5,29,,NNE,17,1014.2
,2013-07-31,12.0,27.9,0,,,NE,28,12:15,21.4,41,,E,9,1016.7,27.4,20,,NNE,19,1013.1
