"Daily Weather Observations for Karratha, Western Australia for August 2013"
"Prepared at 13:08 UTC on Tuesday 10 June 2014   IDCJDW6064.201308"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-08-1,12.7,29.0,0,,,ENE,28,10:39,23.8,27,,ESE,19,1017.1,27.8,25,,NNE,17,1014.3
,2013-08-2,12.7,30.0,0,,,ESE,48,11:19,23.2,23,,ESE,28,1019.6,29.4,14,,ESE,19,1016.2
,2013-08-3,13.8,29.0,0,,,ESE,48,09:20,25.4,23,,ESE,31,1019.8,27.4,29,,ENE,22,1016.9
,2013-08-4,13.5,28.9,0.2,,,NNE,37,13:58,22.8,38,,NE,11,1020.8,27.0,31,,NE,28,1016.5
,2013-08-5,11.5,28.1,0,,,NE,30,13:48,22.1,38,,E,4,1019.6,27.3,19,,NNE,19,1016.1
,2013-08-6,10.1,29.7,0,,,NE,26,14:10,21.9,30,,SSW,9,1018.8,28.6,12,,NNE,20,1015.6
,2013-08-7,11.0,30.4,0,,,NNE,24,14:48,23.6,22,,SSE,11,1018.1,29.7,12,,NNE,17,1015.2
,2013-08-8,11.6,31.0,0,,,W,26,17:41,22.9,29,,S,7,1018.2,29.7,13,,WNW,17,1014.3
,2013-08-9,13.7,31.2,0,,,SW,20,02:40,23.0,36,,SSW,9,1016.7,30.5,18,,NE,13,1012.8
,2013-08-10,12.1,30.6,0,,,W,28,15:04,23.4,50,,NW,4,1016.3,29.6,20,,W,22,1013.6
,2013-08-11,11.5,29.3,0,,,WSW,31,22:30,22.1,62,,WSW,7,1016.1,28.5,36,,NW,19,1013.1
,2013-08-12,13.0,27.1,0,,,E,37,09:43,23.0,43,,E,15,1015.1,26.0,41,,NE,20,1012.7
,2013-08-13,13.1,29.0,0,,,W,24,20:54,22.0,83,,SW,6,1015.2,28.8,27,,WNW,15,1012.2
,2013-08-14,13.4,28.4,0,,,NE,24,13:19,22.4,68,,E,9,1015.6,27.9,31,,NNE,13,1012.8
,2013-08-15,16.0,29.4,0,,,W,41,18:55,24.0,81,,W,13,1015.6,28.3,34,,W,28,1012.5
,2013-08-16,16.7,29.8,0,,,S,28,09:08,23.9,36,,S,19,1016.2,28.1,28,,NNW,13,1012.9
,2013-08-17,14.5,27.7,0,,,E,39,08:56,23.3,31,,E,30,1016.6,26.7,32,,NNE,24,1013.9
,2013-08-18,13.2,29.0,0,,,NE,31,11:24,23.1,26,,ENE,15,1017.0,28.1,14,,NE,20,1014.1
,2013-08-19,13.8,29.6,0,,,NE,30,13:27,23.7,28,,SE,11,1016.4,28.2,17,,NE,20,1013.7
,2013-08-20,13.9,29.7,0,,,ENE,39,11:29,23.2,44,,ENE,13,1017.8,28.6,23,,NE,15,1014.9
,2013-08-21,14.1,28.8,0,,,E,37,10:01,25.5,24,,E,22,1019.2,27.5,30,,NNE,20,1016.2
,2013-08-22,14.3,28.9,0,,,E,54,10:14,24.2,19,,E,33,1020.9,26.2,31,,NE,22,1016.8
,2013-08-23,12.8,28.2,0,,,E,44,09:18,24.0,21,,ESE,26,1020.0,27.6,25,,NE,19,1016.0
,2013-08-24,13.4,31.0,0,,,ESE,39,10:00,25.5,17,,ESE,20,1017.1,26.6,37,,NE,22,1013.4
,2013-08-25,16.3,28.3,0,,,W,30,18:54,22.9,80,,ENE,15,1016.6,26.9,58,,WNW,19,1013.9
,2013-08-26,16.4,29.0,0,,,WSW,33,21:52,23.4,52,,S,17,1017.6,28.1,43,,W,20,1014.5
,2013-08-27,16.8,29.1,0,,,W,41,17:15,23.3,48,,WSW,11,1018.0,27.3,31,,W,28,1015.0
,2013-08-28,15.0,29.2,0,,,WSW,37,20:29,22.9,40,,SSW,13,1017.1,27.5,39,,WNW,22,1013.0
,2013-08-29,14.5,25.9,0,,,W,50,18:16,20.7,58,,WNW,7,1014.7,25.5,48,,W,37,1012.1
,2013-08-30,14.8,27.1,0,,,W,41,19:12,21.3,55,,W,13,1017.1,25.9,39,,W,26,1012.3
,2013-08-31,17.8,28.8,0,,,W,35,18:14,22.1,62,,WSW,19,1016.9,27.7,39,,WNW,22,1012.7
