"Daily Weather Observations for Karratha, Western Australia for September 2013"
"Prepared at 13:07 UTC on Monday  9 June 2014   IDCJDW6064.201309"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-09-1,18.1,29.8,0,,,WSW,31,03:16,21.7,61,,WSW,17,1017.3,28.2,44,,NW,19,1014.3
,2013-09-2,17.2,32.4,0,,,W,31,20:15,24.6,60,,WSW,13,1017.4,31.2,33,,NW,20,1014.1
,2013-09-3,20.1,36.2,0,,,W,35,17:21,30.3,30,,S,13,1016.2,34.1,38,,WNW,20,1012.7
,2013-09-4,21.5,36.5,0,,,WNW,26,14:20,31.0,29,,SSE,13,1015.9,35.0,25,,NW,19,1011.9
,2013-09-5,20.0,34.8,0,,,ESE,43,09:07,31.5,28,,E,31,1014.7,32.0,31,,NNE,28,1011.7
,2013-09-6,20.2,30.8,0,,,NNE,41,13:52,25.8,84,,NE,19,1017.2,28.8,55,,NNE,28,1013.4
,2013-09-7,19.5,30.6,0,,,W,33,18:03,24.7,82,,WSW,17,1015.9,28.2,62,,NW,26,1012.8
,2013-09-8,17.2,33.1,0,,,WSW,31,00:02,26.5,41,,W,7,1015.7,30.3,34,,WNW,20,1013.1
,2013-09-9,16.9,30.8,0,,,W,31,14:46,24.7,63,,WNW,7,1015.4,30.0,51,,W,24,1012.4
,2013-09-10,18.3,27.2,0,,,W,37,13:47,22.8,67,,W,15,1015.4,25.6,59,,W,24,1012.0
,2013-09-11,19.1,28.9,0,,,W,50,15:04,24.1,61,,WSW,20,1015.6,27.4,52,,W,39,1012.5
,2013-09-12,15.6,28.9,0,,,WNW,35,15:41,23.3,50,,SSW,17,1017.7,27.2,48,,WNW,24,1013.6
,2013-09-13,14.7,30.2,0,,,WSW,43,23:15,24.8,36,,W,7,1015.7,28.6,30,,W,26,1011.5
,2013-09-14,15.6,28.3,0,,,W,54,15:45,23.1,51,,SW,35,1014.7,25.9,45,,WNW,39,1010.1
,2013-09-15,15.1,27.4,,,,S,41,07:45,,,,,,,25.2,31,,WNW,26,1012.2
,2013-09-16,12.5,29.3,,,,E,39,09:27,24.5,23,,E,26,1016.1,28.5,22,,NE,20,1013.2
,2013-09-17,14.0,31.4,0,,,W,39,20:05,25.1,25,,S,19,1015.5,29.9,29,,WNW,22,1010.6
,2013-09-18,15.5,30.3,0,,,ENE,39,10:00,26.5,25,,ENE,15,1013.8,28.7,24,,NNE,22,1010.2
,2013-09-19,12.9,31.2,0,,,WSW,28,01:05,26.3,29,,ENE,11,1012.0,29.5,33,,NNE,13,1009.7
,2013-09-20,14.5,29.3,0,,,W,35,18:26,23.5,52,,W,13,1012.8,28.3,33,,NW,22,1010.3
,2013-09-21,15.0,32.3,0,,,NNW,33,16:42,25.1,44,,NNW,7,1013.6,30.3,22,,NE,19,1010.6
,2013-09-22,18.3,27.2,0,,,W,54,17:28,21.9,58,,WSW,31,1014.5,25.6,53,,W,43,1010.4
,2013-09-23,15.6,29.7,0,,,WSW,46,19:41,24.2,30,,SSW,24,1014.0,27.9,48,,WNW,28,1010.6
,2013-09-24,17.9,30.2,0,,,W,44,18:44,23.5,59,,W,15,1014.6,28.3,49,,W,30,1011.7
,2013-09-25,17.1,33.3,0,,,WSW,44,20:57,28.0,31,,SSE,17,1015.7,31.2,31,,WNW,20,1012.8
,2013-09-26,19.3,34.1,0,,,WSW,39,20:05,26.6,37,,W,11,1014.1,30.4,45,,WNW,24,1011.2
,2013-09-27,19.1,35.3,0,,,W,31,16:28,27.7,26,,W,13,1012.9,32.4,22,,WNW,24,1010.0
,2013-09-28,16.4,32.1,0,,,NNW,33,16:19,27.3,29,,ENE,15,1010.7,31.3,32,,NNW,19,1007.5
,2013-09-29,18.1,30.2,0,,,W,37,20:50,25.9,62,,W,11,1009.7,29.0,55,,NW,24,1007.5
,2013-09-30,17.5,28.4,0,,,W,50,15:27,24.3,44,,WSW,22,1013.8,27.0,42,,W,39,1011.0
