"Daily Weather Observations for Karratha, Western Australia for October 2013"
"Prepared at 13:08 UTC on Sunday  8 June 2014   IDCJDW6064.201310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-10-1,18.6,29.3,0,,,WSW,31,00:04,23.6,62,,W,9,1015.1,28.4,52,,NW,22,1013.5
,2013-10-2,15.4,35.1,0,,,W,28,23:44,25.2,56,,NW,11,1017.7,33.6,23,,WNW,19,1014.2
,2013-10-3,18.1,36.9,0,,,ENE,33,11:01,30.7,20,,SW,9,1016.7,35.7,12,,NNW,15,1012.9
,2013-10-4,20.9,37.7,0,,,W,44,15:47,28.9,43,,W,15,1014.4,35.1,36,,W,28,1010.0
,2013-10-5,19.9,38.3,0,,,WNW,37,17:16,34.9,16,,S,15,1012.4,33.0,42,,NW,26,1008.7
,2013-10-6,21.7,31.5,0,,,W,39,23:23,27.0,50,,W,15,1011.7,29.9,51,,WNW,28,1007.9
,2013-10-7,18.5,30.9,0,,,W,35,00:01,26.9,71,,NNE,9,1010.7,29.4,50,,WNW,20,1008.6
,2013-10-8,19.7,30.0,0,,,W,46,11:49,25.6,70,,W,31,1012.1,29.0,60,,W,33,1009.0
,2013-10-9,19.6,35.6,0,,,W,52,14:57,26.8,45,,WSW,33,1013.9,29.7,61,,W,39,1010.6
,2013-10-10,20.2,34.4,0,,,W,33,19:20,29.2,36,,ENE,19,1014.9,31.7,38,,WNW,24,1012.0
,2013-10-11,19.5,35.0,0,,,W,41,15:24,31.6,20,,S,11,1013.7,33.7,25,,W,30,1010.1
,2013-10-12,21.4,34.4,0,,,W,43,16:08,28.2,33,,W,22,1012.3,31.6,44,,W,33,1008.7
,2013-10-13,19.9,36.3,0,,,NNE,31,12:20,31.5,25,,ENE,15,1013.0,34.7,31,,N,20,1010.0
,2013-10-14,21.1,38.4,0,,,E,41,09:08,33.2,15,,E,31,1014.4,37.0,13,,NE,13,1010.6
,2013-10-15,22.5,38.7,0,,,NNW,33,15:32,33.4,21,,ENE,11,1014.6,35.8,25,,NNW,22,1011.5
,2013-10-16,20.8,40.7,0,,,N,37,13:35,36.5,12,,SE,19,1013.5,31.1,48,,NNW,28,1011.1
,2013-10-17,20.0,34.6,0,,,NNW,37,18:45,28.1,78,,ENE,17,1014.6,34.0,28,,N,17,1011.1
,2013-10-18,20.6,35.6,0,,,W,39,16:51,28.0,77,,W,13,1013.3,32.6,46,,WNW,26,1009.0
,2013-10-19,22.3,40.6,0,,,W,37,17:02,34.7,23,,W,11,1011.4,38.5,14,,WNW,24,1008.3
,2013-10-20,22.2,35.5,0,,,W,48,15:22,30.7,35,,W,15,1011.3,33.5,38,,W,35,1008.0
,2013-10-21,23.0,35.5,0,,,W,35,17:28,30.7,34,,NW,11,1011.4,34.3,22,,WNW,26,1008.5
,2013-10-22,23.0,34.3,0,,,ENE,37,10:07,32.4,31,,E,19,1012.7,32.8,32,,NNW,19,1010.5
,2013-10-23,20.5,34.4,0,,,NNE,35,13:46,31.6,33,,ENE,17,1013.5,32.8,36,,NNW,19,1011.2
,2013-10-24,21.0,37.0,0,,,WSW,33,22:41,31.6,33,,S,11,1013.2,34.3,33,,NW,24,1010.2
,2013-10-25,25.1,39.6,0,,,W,35,15:23,31.0,27,,SE,11,1013.3,36.5,28,,W,20,1010.0
,2013-10-26,26.1,32.6,0,,,SE,46,16:50,28.3,80,,E,22,1014.0,30.8,34,,SSW,13,1014.1
,2013-10-27,22.2,,6.0,,,,,,25.8,73,,SE,15,1016.2,,,,,,
,2013-10-28,,,,,,,,,,,,,,,,,,,,
,2013-10-29,,33.8,,,,WSW,41,20:00,,,,W,20,1013.4,,,,,,
,2013-10-30,,36.3,,,,WSW,33,00:20,29.1,73,,W,15,1012.7,33.5,54,,NW,19,1009.5
,2013-10-31,23.7,33.5,0,,,WSW,37,00:50,28.9,75,,NNW,13,1013.0,31.4,59,,NNW,20,1010.5
