"Daily Weather Observations for Karratha, Western Australia for November 2013"
"Prepared at 16:07 UTC on Saturday  7 June 2014   IDCJDW6064.201311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-11-1,25.3,37.3,0,,,W,37,19:06,31.3,51,,NE,11,1012.8,35.6,41,,NNW,20,1008.8
,2013-11-2,26.5,33.6,0,,,NNE,31,03:32,33.0,33,,NNW,13,1013.1,32.1,55,,NW,20,1010.2
,2013-11-3,22.7,39.0,0,,,WSW,35,23:19,31.7,59,,W,15,1013.3,35.9,29,,WNW,22,1009.5
,2013-11-4,24.6,43.5,0,,,W,39,17:44,38.7,22,,SSW,26,1010.1,38.8,32,,WNW,24,1007.4
,2013-11-5,26.5,44.8,0,,,SSE,43,08:35,40.6,17,,S,30,1009.2,38.2,36,,W,24,1006.0
,2013-11-6,26.0,33.0,0,,,NE,41,11:46,31.1,71,,ENE,24,1010.4,31.4,68,,NE,28,1007.4
,2013-11-7,23.0,36.0,0,,,WSW,46,23:24,29.7,73,,NE,11,1010.4,34.3,54,,WNW,26,1006.7
,2013-11-8,24.3,38.1,0,,,WSW,43,00:03,33.1,38,,NNE,11,1009.4,35.7,36,,NNW,24,1006.4
,2013-11-9,22.9,37.2,0,,,ENE,46,09:37,33.7,36,,ENE,20,1010.9,35.8,26,,NNE,22,1008.1
,2013-11-10,22.2,36.3,0,,,ENE,43,10:15,34.9,29,,E,31,1010.6,34.0,29,,NNE,26,1008.0
,2013-11-11,24.2,37.5,0,,,W,33,20:49,31.9,51,,NNW,9,1010.2,35.8,20,,NE,20,1006.8
,2013-11-12,24.5,37.2,0,,,ENE,39,12:17,32.3,41,,NW,9,1008.6,36.2,12,,NNE,26,1006.3
,2013-11-13,23.9,39.1,0,,,WSW,37,21:50,30.3,44,,WNW,13,1008.5,36.6,35,,NW,19,1006.1
,2013-11-14,22.9,41.4,0,,,NNW,39,16:03,34.5,40,,W,13,1008.2,36.3,44,,NW,28,1004.6
,2013-11-15,25.7,32.7,0,,,NE,35,11:18,29.4,71,,ENE,15,1010.2,30.0,68,,NE,20,1008.7
,2013-11-16,26.3,34.2,0,,,N,35,15:57,29.9,63,,N,9,1010.5,32.5,44,,NNW,26,1007.1
,2013-11-17,25.7,33.0,0,,,NW,35,15:42,29.8,62,,WNW,15,1008.8,32.4,60,,NNW,22,1005.4
,2013-11-18,24.6,35.3,0,,,W,35,20:15,31.4,40,,ENE,28,1007.4,33.6,49,,NNW,26,1004.2
,2013-11-19,22.7,35.6,0,,,W,50,18:55,32.0,29,,W,17,1006.3,33.9,46,,W,35,1002.9
,2013-11-20,21.4,31.7,0,,,W,50,14:09,28.4,43,,WSW,28,1007.1,30.5,46,,W,37,1003.9
,2013-11-21,20.4,30.9,0,,,W,46,15:40,27.2,51,,WSW,22,1007.1,29.3,42,,W,35,1004.7
,2013-11-22,21.7,31.8,0,,,W,46,17:38,28.0,47,,WSW,24,1007.8,30.2,47,,W,31,1005.3
,2013-11-23,21.3,31.1,0,,,W,52,16:45,27.0,47,,W,26,1007.1,29.6,49,,W,41,1004.4
,2013-11-24,21.5,30.7,0,,,W,54,16:17,25.8,59,,W,30,1006.9,29.6,57,,W,43,1004.1
,2013-11-25,21.8,30.9,0,,,W,54,19:04,26.7,58,,W,28,1005.4,29.8,53,,W,39,1001.9
,2013-11-26,23.5,30.8,0,,,W,50,18:23,27.4,52,,W,28,1004.6,29.4,55,,WNW,35,1002.3
,2013-11-27,22.3,30.1,0,,,W,50,13:01,26.7,55,,W,31,1008.3,29.6,47,,W,39,1005.2
,2013-11-28,21.9,30.5,0,,,W,59,15:32,26.9,49,,WSW,28,1008.7,29.7,45,,W,48,1004.3
,2013-11-29,22.7,30.2,0,,,W,56,14:49,26.6,55,,W,35,1008.3,29.0,51,,W,41,1005.2
,2013-11-30,22.9,33.5,0,,,W,57,17:17,29.8,45,,WSW,22,1007.8,30.9,47,,W,46,1004.0
