"Daily Weather Observations for Karratha, Western Australia for December 2013"
"Prepared at 16:08 UTC on Monday  7 July 2014   IDCJDW6064.201312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-12-1,23.4,34.7,0,,,W,37,00:50,29.4,37,,WNW,11,1008.7,31.7,46,,NW,22,1006.7
,2013-12-2,23.2,30.3,0,,,WNW,35,16:09,27.6,69,,WNW,15,1010.8,29.5,60,,WNW,26,1008.1
,2013-12-3,22.4,32.1,0,,,W,35,23:14,27.3,67,,W,26,1009.4,31.4,51,,W,24,1005.9
,2013-12-4,23.9,32.1,0,,,W,41,22:45,27.8,71,,W,22,1007.7,30.4,59,,WNW,30,1004.7
,2013-12-5,24.4,32.7,0,,,W,43,20:38,28.2,68,,WNW,19,1008.2,29.6,64,,WNW,26,1005.3
,2013-12-6,25.0,32.8,0,,,WNW,39,16:20,28.4,68,,W,26,1008.2,30.6,59,,WNW,28,1005.7
,2013-12-7,24.1,32.4,0,,,WNW,37,17:35,28.3,61,,W,17,1010.4,31.1,52,,NW,24,1008.0
,2013-12-8,24.1,33.2,0,,,W,39,18:58,29.1,53,,WNW,17,1011.4,31.6,46,,WNW,26,1008.2
,2013-12-9,25.7,34.9,0,,,W,35,13:41,31.3,46,,WNW,15,1009.5,32.1,52,,WNW,24,1006.7
,2013-12-10,25.4,37.3,0,,,NW,39,15:09,32.6,48,,NW,11,1007.9,33.5,51,,NNW,28,1005.2
,2013-12-11,24.4,35.7,0,,,NNE,39,13:01,31.3,53,,ENE,28,1009.6,33.4,52,,NNW,24,1006.8
,2013-12-12,25.4,38.4,0,,,NNW,35,16:08,31.7,55,,W,13,1008.8,37.5,33,,N,22,1005.7
,2013-12-13,26.2,38.6,0,,,SSW,56,20:30,32.6,47,,NNE,11,1009.7,37.6,41,,WNW,22,1006.3
,2013-12-14,28.0,41.4,0,,,SE,57,19:25,36.4,28,,E,9,1008.8,38.3,25,,NNW,26,1005.2
,2013-12-15,26.2,36.6,0,,,N,37,15:31,31.5,59,,ENE,20,1011.1,33.2,55,,NNW,26,1006.6
,2013-12-16,25.9,36.6,0,,,NE,35,14:22,32.3,58,,NE,11,1009.8,35.2,39,,NNE,26,1006.7
,2013-12-17,25.6,37.8,0,,,NW,31,17:00,32.9,47,,W,15,1008.6,35.3,41,,NNW,20,1004.9
,2013-12-18,28.2,36.4,0,,,W,39,22:09,32.2,53,,W,26,1009.4,34.2,56,,NW,24,1007.2
,2013-12-19,27.7,40.3,0,,,W,54,17:03,31.4,56,,W,24,1009.6,35.0,51,,W,35,1005.5
,2013-12-20,28.1,44.0,0,,,W,59,17:20,40.2,14,,S,30,1006.9,41.0,23,,W,30,1002.5
,2013-12-21,27.6,43.5,0,,,W,61,17:11,38.5,16,,SW,17,1005.9,38.0,30,,W,46,1002.3
,2013-12-22,26.2,33.7,0,,,NNE,37,11:18,32.5,46,,NE,17,1007.0,31.8,61,,NE,24,1005.0
,2013-12-23,23.3,33.9,0,,,NW,39,17:53,29.3,71,,ENE,17,1009.2,32.3,63,,NNE,24,1006.9
,2013-12-24,23.4,36.8,0,,,W,43,18:59,30.1,66,,WNW,11,1009.8,35.2,47,,WNW,24,1006.4
,2013-12-25,26.6,36.8,0,,,WNW,41,13:47,32.6,53,,W,20,1007.8,35.4,41,,WNW,28,1004.9
,2013-12-26,27.8,40.7,0,,,W,35,01:05,36.6,27,,SW,15,1006.6,38.3,30,,NNW,20,1003.7
,2013-12-27,28.2,43.0,0,,,N,33,14:08,36.9,44,,ENE,7,1005.0,38.9,36,,NNW,22,1001.4
,2013-12-28,28.4,43.5,0,,,NNE,37,13:03,37.7,31,,NW,11,1003.9,40.7,33,,N,20,999.9
,2013-12-29,29.2,37.1,0,,,NE,50,13:24,32.7,64,,NE,17,1003.5,33.4,52,,NNE,30,1000.6
,2013-12-30,30.2,31.9,0,,,SSW,124,23:13,31.8,49,,SSE,44,1000.5,25.4,100,,S,41,995.5
,2013-12-31,23.2,30.7,112.8,,,W,133,01:25,26.3,99,,NW,50,997.4,29.8,79,,NW,39,1001.2
