"Daily Weather Observations for Karratha, Western Australia for January 2014"
"Prepared at 13:08 UTC on Sunday  6 July 2014   IDCJDW6064.201401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-01-1,23.3,31.6,2.4,,,W,39,00:15,26.0,81,,W,17,1009.2,29.8,64,,WNW,19,1006.9
,2014-01-2,22.8,37.0,0,,,WSW,39,23:44,31.3,51,,SSE,9,1010.6,36.2,45,,NW,19,1007.9
,2014-01-3,24.7,35.9,0,,,W,35,00:17,30.5,62,,ENE,15,1009.9,34.3,57,,NE,19,1008.2
,2014-01-4,27.7,39.2,0,,,W,44,14:59,34.1,43,,WSW,13,1009.2,38.3,28,,W,37,1005.8
,2014-01-5,26.6,42.7,0,,,SE,44,01:16,35.0,45,,ENE,4,1007.8,36.7,47,,WNW,24,1004.8
,2014-01-6,27.5,37.2,0,,,NE,39,14:00,33.7,56,,NE,19,1007.9,35.2,62,,NNE,24,1006.6
,2014-01-7,28.3,37.4,0,,,W,33,20:45,34.2,58,,NNW,9,1010.6,35.3,62,,NNW,20,1007.5
,2014-01-8,27.9,41.5,0,,,NNW,30,14:13,35.0,44,,W,15,1008.0,37.4,52,,NNW,20,1004.2
,2014-01-9,27.8,39.6,0,,,NNE,31,13:59,33.7,73,,NE,15,1005.3,36.2,60,,NNW,20,1003.3
,2014-01-10,27.7,36.0,0,,,W,43,23:48,32.0,81,,NE,22,1006.3,34.8,68,,NNW,19,1004.9
,2014-01-11,29.0,36.6,0,,,WNW,31,14:16,32.1,76,,WNW,20,1009.4,35.3,59,,WNW,24,1006.8
,2014-01-12,27.9,35.4,0,,,W,48,15:41,32.0,77,,W,24,1008.7,34.3,65,,W,39,1005.0
,2014-01-13,27.1,36.4,0,,,W,48,17:58,31.7,61,,W,22,1004.7,35.6,62,,W,33,1000.8
,2014-01-14,28.5,43.2,0,,,E,46,22:25,34.0,40,,WNW,17,1001.1,37.5,45,,N,20,999.0
,2014-01-15,27.2,40.6,0,,,WSW,46,19:37,35.7,24,,SW,22,1002.0,36.2,54,,NW,22,999.6
,2014-01-16,26.5,39.0,0,,,W,44,20:25,33.9,36,,W,20,1000.9,36.7,41,,WNW,26,999.0
,2014-01-17,27.5,39.2,0,,,W,48,23:20,32.6,37,,W,15,1000.7,37.1,40,,W,24,999.3
,2014-01-18,27.9,33.5,0,,,W,57,20:01,30.0,72,,WSW,22,1004.1,32.4,62,,W,39,1001.1
,2014-01-19,26.2,32.6,0,,,W,59,17:48,30.0,68,,W,31,1002.6,32.1,66,,W,44,998.6
,2014-01-20,27.1,33.6,0,,,W,48,16:59,29.9,76,,W,24,999.6,32.5,58,,WNW,30,995.5
,2014-01-21,27.9,32.7,0.2,,,WNW,57,15:24,31.2,78,,W,37,996.4,30.8,73,,WNW,41,994.4
,2014-01-22,26.7,30.5,0.2,,,WNW,50,14:56,28.7,80,,WNW,31,1001.1,29.6,75,,WNW,37,1000.5
,2014-01-23,27.1,32.5,0,,,NW,37,16:23,28.6,73,,WNW,22,1004.9,31.3,63,,WNW,28,1003.8
,2014-01-24,26.5,33.2,0,,,NNW,31,14:35,29.3,70,,W,15,1006.9,32.3,55,,NW,22,1004.7
,2014-01-25,24.9,33.1,0,,,W,48,17:52,29.3,68,,W,19,1008.8,32.4,55,,WNW,26,1006.1
,2014-01-26,26.6,36.0,0,,,WSW,41,00:06,30.9,60,,SE,13,1007.4,35.4,43,,NNE,20,1004.0
,2014-01-27,24.4,33.2,18.6,,,ENE,61,00:53,27.6,87,,ESE,19,1006.7,32.6,70,,N,19,1003.5
,2014-01-28,23.1,33.0,24.6,,,ESE,69,05:18,25.1,99,,SSW,11,1005.6,32.0,69,,NE,15,1002.8
,2014-01-29,25.0,33.2,0,,,NE,41,14:03,29.8,74,,NE,9,1004.7,32.0,67,,NNE,24,1001.8
,2014-01-30,26.5,34.5,0,,,NNW,33,16:29,31.0,75,,NE,15,1005.1,33.9,55,,NNE,24,1001.9
,2014-01-31,25.8,34.5,0,,,E,31,03:13,29.5,74,,ENE,9,1003.9,33.4,64,,NNW,17,1002.2
