"Daily Weather Observations for Karratha, Western Australia for February 2014"
"Prepared at 13:07 UTC on Saturday  5 July 2014   IDCJDW6064.201402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-02-1,26.9,36.1,0,,,W,33,20:35,32.7,67,,E,2,1002.4,34.8,57,,NNW,17,1000.0
,2014-02-2,27.4,35.5,0,,,SSW,50,17:05,31.6,69,,W,19,1002.1,35.0,54,,WNW,28,999.3
,2014-02-3,28.8,35.7,0,,,W,43,20:41,31.8,79,,W,24,1002.2,34.9,65,,WNW,28,999.6
,2014-02-4,28.4,37.5,0,,,W,31,02:24,32.4,72,,WNW,6,1003.2,36.5,46,,NNE,24,1000.3
,2014-02-5,28.5,40.4,0,,,NW,35,13:46,35.4,49,,SSW,13,1003.2,36.8,57,,NW,20,1000.0
,2014-02-6,28.8,34.2,0,,,W,31,02:11,31.8,82,,NE,22,1004.9,30.9,81,,NE,17,1003.0
,2014-02-7,28.0,40.4,0.2,,,W,37,18:06,32.8,63,,W,11,1003.2,39.9,40,,NNW,17,1000.1
,2014-02-8,29.3,42.1,0,,,W,30,00:26,33.8,61,,WSW,7,1001.6,40.3,41,,NNW,19,998.6
,2014-02-9,30.0,40.4,0,,,WSW,33,20:03,34.7,69,, ,Calm,1001.3,39.6,36,,NNW,19,998.6
,2014-02-10,30.7,38.9,0,,,S,104,19:28,36.6,44,,ESE,22,1000.3,36.7,49,,NNW,26,996.1
,2014-02-11,22.4,39.2,14.8,,,W,50,23:27,31.5,81,,SSW,9,998.0,35.3,58,,WNW,31,994.4
,2014-02-12,28.0,33.1,0,,,W,54,15:58,30.4,74,,W,37,1000.1,32.1,69,,W,41,998.9
,2014-02-13,24.3,32.5,0,,,W,54,13:56,28.4,65,,W,33,1005.8,31.0,64,,W,43,1003.9
,2014-02-14,24.6,34.7,0,,,W,48,15:48,29.2,62,,SW,31,1007.0,32.8,60,,W,37,1003.1
,2014-02-15,24.2,33.4,0,,,W,41,12:59,29.3,67,,WSW,26,1006.9,32.4,59,,W,31,1004.0
,2014-02-16,24.3,34.0,0,,,WSW,37,08:39,29.7,68,,WSW,24,1008.6,32.5,56,,WNW,26,1006.9
,2014-02-17,26.2,35.8,0,,,WNW,41,14:13,29.2,75,,WNW,22,1009.7,34.4,55,,WNW,28,1005.3
,2014-02-18,27.1,39.0,0,,,W,33,00:26,32.3,68,,NW,7,1008.4,38.6,33,,NNE,20,1004.7
,2014-02-19,24.9,37.6,0,,,NNE,41,15:32,36.4,25,,E,26,1007.8,35.6,35,,NNE,28,1005.0
,2014-02-20,25.0,37.3,0,,,E,43,10:23,35.5,19,,E,33,1009.7,35.7,27,,NNE,28,1007.4
,2014-02-21,23.4,38.5,0,,,E,52,10:21,35.2,24,,E,24,1010.7,37.6,20,,NNE,26,1007.7
,2014-02-22,24.3,38.9,0,,,NNE,43,15:36,35.2,25,,ESE,17,1011.6,37.0,22,,NNE,28,1008.3
,2014-02-23,24.1,38.3,0,,,NE,31,14:43,32.5,50,,ENE,11,1012.1,36.8,26,,NNE,24,1008.7
,2014-02-24,25.0,39.0,0,,,NNW,31,16:28,32.1,63,,ENE,7,1011.5,36.1,45,,NNW,20,1008.1
,2014-02-25,24.3,40.6,0,,,NE,31,12:52,32.6,56,,NW,7,1010.6,36.7,42,,NNW,20,1006.8
,2014-02-26,25.1,37.1,0,,,NW,31,17:56,32.1,65,,WSW,6,1009.6,35.5,53,,NNW,20,1006.4
,2014-02-27,27.0,38.8,0,,,NNE,30,13:41,31.1,73,,W,7,1010.7,37.9,25,,NNE,22,1007.8
,2014-02-28,26.2,37.7,0,,,NNE,31,12:59,33.7,44,,SSE,13,1012.3,35.9,30,,NNE,24,1008.8
