"Daily Weather Observations for Karratha, Western Australia for April 2014"
"Prepared at 13:07 UTC on Thursday  3 July 2014   IDCJDW6064.201404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-04-1,24.3,36.0,0,,,W,35,17:16,29.6,63,,W,11,1012.8,34.0,46,,WNW,22,1009.1
,2014-04-2,25.7,36.8,0,,,W,41,20:01,31.0,51,,W,13,1011.2,35.7,32,,W,28,1008.5
,2014-04-3,25.5,36.9,0,,,WNW,30,15:01,29.8,49,,W,15,1012.0,36.0,31,,WNW,24,1009.0
,2014-04-4,23.6,35.3,0,,,NW,33,15:24,30.8,66,,WSW,7,1011.4,34.1,49,,NW,20,1008.7
,2014-04-5,23.7,34.6,0,,,NNW,33,14:16,29.7,70,,SSE,6,1011.5,33.2,56,,NW,20,1008.9
,2014-04-6,26.3,33.9,0,,,W,44,17:37,28.4,66,,WSW,19,1011.9,33.1,35,,WNW,24,1008.7
,2014-04-7,25.0,32.0,0,,,W,43,17:38,26.4,55,,WSW,15,1011.5,30.5,45,,WNW,28,1007.7
,2014-04-8,20.6,34.0,0,,,ESE,35,09:24,30.5,25,,ESE,20,1009.7,32.3,31,,NNE,22,1006.3
,2014-04-9,21.9,33.3,0,,,NNE,35,13:06,28.9,35,,SE,9,1009.7,32.0,37,,NNE,24,1006.6
,2014-04-10,22.1,34.1,0,,,NNE,26,14:19,28.7,68,,W,11,1011.8,32.4,34,,NNE,19,1008.4
,2014-04-11,22.9,35.2,0,,,W,28,20:53,29.9,50,,SW,13,1011.9,33.6,42,,NNW,19,1008.8
,2014-04-12,23.6,35.2,0,,,ENE,37,12:22,32.4,36,,ESE,19,1011.9,34.4,33,,NNE,24,1008.7
,2014-04-13,21.8,35.6,0,,,NNE,31,12:11,32.7,28,,E,24,1014.1,34.9,24,,NNE,22,1010.2
,2014-04-14,21.5,35.1,0,,,E,50,09:13,31.7,20,,E,35,1014.3,32.3,36,,NNE,26,1011.2
,2014-04-15,20.2,33.3,0,,,ENE,43,10:24,32.0,20,,ESE,31,1015.3,31.3,43,,NNE,26,1012.3
,2014-04-16,19.3,34.4,0,,,ENE,41,11:31,30.8,21,,ESE,24,1015.1,31.7,32,,NNE,26,1011.3
,2014-04-17,19.6,34.7,0,,,ENE,43,11:08,30.8,27,,SE,17,1015.1,33.3,25,,NNE,20,1011.7
,2014-04-18,19.5,34.3,0,,,NE,33,12:47,31.1,22,,SE,9,1014.7,32.5,37,,NNE,22,1011.9
,2014-04-19,19.7,36.8,0,,,NE,26,15:13,31.5,24,,SSE,17,1014.3,34.8,20,,NNE,20,1010.1
,2014-04-20,21.5,36.8,0,,,W,30,13:32,32.0,25,,SE,7,1012.1,35.8,21,,NW,15,1009.0
,2014-04-21,22.2,36.1,0,,,W,26,23:12,29.5,67,,W,7,1012.1,34.0,46,,NNW,17,1010.1
,2014-04-22,22.6,35.3,0,,,W,24,00:19,28.4,64,,WNW,7,1012.8,34.2,39,,N,15,1010.7
,2014-04-23,21.9,35.1,0,,,NW,24,16:16,29.6,49,,SSE,4,1012.4,32.9,44,,NNW,15,1009.4
,2014-04-24,21.0,35.4,0,,,WNW,26,15:29,27.7,77,,WSW,17,1011.3,33.2,40,,WNW,19,1007.6
,2014-04-25,20.9,34.0,0,,,WNW,22,16:35,29.4,36,,S,7,1010.5,32.1,42,,NW,13,1008.0
,2014-04-26,24.4,33.1,0,,,W,26,13:01,29.4,79,,ENE,13,1009.9,31.6,60,,NW,15,1008.6
,2014-04-27,27.2,32.3,0,,,NW,33,13:51,29.3,74,,NNW,17,1011.4,29.5,77,,WNW,22,1009.1
,2014-04-28,23.8,35.0,3.2,,,W,41,15:27,29.5,66,,SSW,17,1013.0,33.5,48,,W,31,1010.3
,2014-04-29,23.1,34.4,0,,,E,43,09:52,30.0,29,,ESE,30,1013.1,31.9,42,,NE,24,1010.4
,2014-04-30,21.8,32.6,0,,,E,39,09:13,28.1,30,,E,28,1014.2,31.9,37,,NE,24,1011.3
