"Daily Weather Observations for Karratha, Western Australia for May 2014"
"Prepared at 16:08 UTC on Wednesday  2 July 2014   IDCJDW6064.201405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-05-1,23.4,32.8,0,,,E,43,10:26,29.7,39,,E,30,1014.5,31.9,43,,NE,24,1012.6
,2014-05-2,24.4,33.1,0,,,ESE,54,08:30,27.9,23,,E,39,1017.7,30.7,37,,NE,24,1014.2
,2014-05-3,23.6,30.6,0,,,E,43,08:05,26.1,28,,E,31,1016.6,28.1,33,,NE,24,1012.2
,2014-05-4,21.4,29.3,0,,,E,48,10:29,24.3,33,,E,28,1013.2,28.0,47,,NE,28,1010.3
,2014-05-5,23.8,31.4,0,,,NW,41,21:35,28.0,78,,E,17,1011.7,26.5,98,,NE,17,1009.9
,2014-05-6,22.9,27.2,107.4,,,NNW,33,14:03,,,,NE,20,1013.7,24.6,94,,NNW,13,1011.9
,2014-05-7,23.4,31.3,11.2,,,NE,20,10:58,,,,E,11,1014.3,30.5,70,,N,9,1011.7
,2014-05-8,25.5,32.2,0,,,W,46,14:16,29.0,83,,WNW,19,1013.0,29.9,74,,WSW,26,1010.1
,2014-05-9,20.9,29.8,0,,,NW,22,15:26,24.2,77,,SSW,9,1014.4,28.4,63,,NW,11,1010.8
,2014-05-10,20.8,30.5,0,,,ENE,37,12:23,26.5,55,,ESE,28,1014.3,29.5,59,,NE,26,1011.7
,2014-05-11,23.8,30.6,0,,,E,33,09:53,28.1,77,,E,19,1015.1,29.6,42,,NE,22,1013.1
,2014-05-12,22.0,31.1,0,,,NE,35,12:34,27.9,59,,ESE,15,1015.8,29.8,46,,NE,22,1013.1
,2014-05-13,21.8,31.1,0,,,NE,33,14:25,28.1,56,,E,6,1015.8,29.5,49,,NE,26,1013.1
,2014-05-14,20.4,32.1,0,,,E,30,09:36,28.6,38,,E,22,1014.6,30.5,32,,NE,17,1011.1
,2014-05-15,21.2,30.6,0,,,NE,22,14:23,27.8,52,,SSE,9,1013.6,28.3,55,,NE,15,1010.7
,2014-05-16,21.1,25.2,14.0,,,W,46,05:54,22.6,92,,SW,28,1013.8,24.4,75,,E,20,1012.2
,2014-05-17,17.5,28.5,0.2,,,ENE,24,10:47,22.4,73,,ENE,15,1016.3,27.8,56,,N,11,1013.0
,2014-05-18,18.1,28.8,0,,,E,28,09:36,25.4,64,,E,19,1015.8,28.0,60,,NE,19,1012.8
,2014-05-19,18.5,30.5,0,,,NE,28,13:21,24.6,72,,E,9,1016.0,29.4,42,,NE,20,1013.1
,2014-05-20,18.6,30.7,0,,,NE,28,13:53,25.5,54,,ESE,9,1015.8,29.0,39,,NE,20,1012.6
,2014-05-21,18.1,31.4,0,,,SW,26,19:52,25.5,62,,SE,7,1014.7,30.6,37,,NNE,17,1011.5
,2014-05-22,18.1,30.4,0,,,NE,26,12:11,25.6,53,,E,13,1014.6,29.3,59,,N,11,1011.5
,2014-05-23,17.8,30.2,0,,,WSW,28,19:41,24.2,67,,SW,11,1016.2,29.8,40,,W,22,1013.0
,2014-05-24,17.7,30.7,0,,,WSW,30,23:47,24.3,68,,ENE,9,1015.9,29.8,43,,W,15,1013.0
,2014-05-25,19.0,27.4,2.6,,,SW,54,03:00,19.8,89,,SSE,15,1017.0,26.7,52,,NNE,7,1014.0
,2014-05-26,15.8,27.8,0,,,NE,24,13:07,23.3,69,,ESE,13,1017.1,27.0,56,,NNE,17,1014.0
,2014-05-27,16.6,30.6,0,,,N,22,14:49,23.8,59,,SSE,11,1016.6,29.9,28,,NE,15,1013.3
,2014-05-28,15.4,29.5,0,,,ESE,35,10:42,23.8,46,,SE,11,1016.9,27.0,45,,NE,19,1014.2
,2014-05-29,15.4,29.0,0,,,E,30,10:43,24.0,41,,SE,7,1018.2,28.4,32,,NE,15,1014.5
,2014-05-30,14.2,29.4,0,,,ESE,41,10:07,23.6,43,,ESE,26,1017.1,27.1,44,,NE,22,1013.9
,2014-05-31,13.7,27.9,0,,,ESE,44,09:02,22.6,30,,ESE,31,1017.7,26.0,41,,NE,19,1013.8
