"Daily Weather Observations for Karratha, Western Australia for June 2014"
"Prepared at 13:08 UTC on Monday  7 July 2014   IDCJDW6064.201406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-06-1,11.7,28.3,0,,,E,35,09:30,22.6,26,,ESE,26,1017.2,27.5,30,,NE,13,1013.8
,2014-06-2,13.2,29.1,0,,,E,35,09:12,23.2,26,,E,24,1016.3,28.2,22,,NE,15,1012.9
,2014-06-3,12.1,29.1,0,,,ESE,26,09:31,22.4,29,,E,2,1015.6,28.9,25,,NNE,17,1012.5
,2014-06-4,13.4,29.6,0,,,E,43,11:06,25.0,28,,ESE,19,1016.3,26.7,51,,ENE,22,1013.5
,2014-06-5,16.4,28.3,0,,,E,46,09:19,25.5,29,,ESE,28,1018.4,27.8,36,,NE,20,1014.9
,2014-06-6,16.0,27.4,0,,,E,50,10:38,23.2,28,,E,37,1018.8,26.6,32,,NE,26,1015.2
,2014-06-7,14.7,28.5,0,,,E,46,09:26,23.3,34,,E,35,1017.6,27.1,40,,NE,26,1013.8
,2014-06-8,17.3,26.7,0,,,ENE,56,09:37,22.3,43,,E,33,1016.0,25.3,53,,ENE,30,1013.2
,2014-06-9,15.7,25.2,0,,,E,46,09:48,20.7,29,,E,35,1014.5,23.8,62,,ENE,30,1011.1
,2014-06-10,18.9,25.2,0,,,ESE,44,01:41,20.9,42,,E,30,1013.0,23.2,71,,ENE,19,1011.4
,2014-06-11,15.6,29.3,0,,,NE,28,13:07,25.2,31,,SE,9,1013.5,28.4,20,,NNE,17,1010.3
,2014-06-12,15.4,26.3,0,,,E,46,10:56,19.8,42,,ESE,33,1017.4,25.4,26,,ESE,19,1014.4
,2014-06-13,14.5,24.7,0,,,ESE,56,09:14,16.8,39,,ESE,39,1021.5,24.3,17,,ESE,31,1017.2
,2014-06-14,12.9,24.5,0,,,E,59,08:29,16.9,40,,E,46,1022.9,24.3,21,,E,28,1019.0
,2014-06-15,11.9,25.0,0,,,E,50,09:22,18.8,35,,E,37,1022.9,24.3,27,,E,28,1017.6
,2014-06-16,11.8,23.2,0,,,E,50,09:39,18.8,35,,E,33,1021.6,22.2,38,,NE,26,1017.3
,2014-06-17,9.0,23.9,0,,,E,44,10:53,18.8,39,,E,19,1019.1,22.0,55,,ENE,22,1015.5
,2014-06-18,12.1,26.9,0,,,NNE,28,13:54,21.0,42,,ESE,6,1017.6,24.8,30,,NNE,17,1015.6
,2014-06-19,11.0,27.3,0,,,NE,24,14:48,19.6,66,,ENE,13,1018.9,25.7,28,,NE,20,1015.5
,2014-06-20,10.8,26.2,0,,,NE,35,13:11,22.0,32,,ESE,11,1019.6,25.7,28,,NNE,20,1015.7
,2014-06-21,10.6,26.4,0,,,ENE,26,12:10,20.0,38,,S,6,1017.4,25.5,29,,NNE,15,1014.5
,2014-06-22,14.6,27.4,0,,,NE,26,12:45,22.6,38,,S,4,1017.2,26.1,32,,N,13,1014.2
,2014-06-23,17.1,22.0,2.4,,,ESE,33,15:13,19.3,94,,E,11,1019.8,20.7,86,,ESE,26,1016.4
,2014-06-24,17.1,26.0,0.6,,,E,39,11:20,19.7,47,,E,26,1020.2,23.7,53,,NE,17,1017.0
,2014-06-25,16.2,27.6,0,,,E,48,09:26,22.4,28,,E,33,1020.6,25.7,34,,NE,22,1016.7
,2014-06-26,14.9,27.2,0,,,ENE,37,11:51,23.4,34,,E,20,1020.7,25.6,41,,NNE,24,1017.3
,2014-06-27,15.4,29.1,0,,,NNE,28,14:21,23.8,44,,SSE,7,1019.7,26.5,38,,NE,22,1015.8
,2014-06-28,17.4,25.5,0,,,E,54,09:19,20.4,33,,E,39,1020.7,23.3,35,,NE,26,1016.9
,2014-06-29,14.3,23.0,0,,,E,57,09:38,19.2,24,,E,44,1020.8,22.2,31,,NE,28,1016.9
,2014-06-30,11.0,24.0,0,,,E,44,08:49,20.1,23,,ESE,33,1021.6,23.0,34,,NE,22,1018.7
