DATE,MINTEMP,MAXTEMP,RAINFALL
1/08/2013,12.7,29,0
2/08/2013,12.7,30,0
3/08/2013,13.8,29,0
4/08/2013,13.5,28.9,0.2
5/08/2013,11.5,28.1,0
6/08/2013,10.1,29.7,0
7/08/2013,11,30.4,0
8/08/2013,11.6,31,0
9/08/2013,13.7,31.2,0
10/08/2013,12.1,30.6,0
11/08/2013,11.5,29.3,0
12/08/2013,13,27.1,0
13/08/2013,13.1,29,0
14/08/2013,13.4,28.4,0
15/08/2013,16,29.4,0
16/08/2013,16.7,29.8,0
17/08/2013,14.5,27.7,0
18/08/2013,13.2,29,0
19/08/2013,13.8,29.6,0
20/08/2013,13.9,29.7,0
21/08/2013,14.1,28.8,0
22/08/2013,14.3,28.9,0
23/08/2013,12.8,28.2,0
24/08/2013,13.4,31,0
25/08/2013,16.3,28.3,0
26/08/2013,16.4,29,0
27/08/2013,16.8,29.1,0
28/08/2013,15,29.2,0
29/08/2013,14.5,25.9,0
30/08/2013,14.8,27.1,0
31/08/2013,17.8,28.8,0
1/09/2013,18.1,29.8,0
2/09/2013,17.2,32.4,0
3/09/2013,20.1,36.2,0
4/09/2013,21.5,36.5,0
5/09/2013,20,34.8,0
6/09/2013,20.2,30.8,0
7/09/2013,19.5,30.6,0
8/09/2013,17.2,33.1,0
9/09/2013,16.9,30.8,0
10/09/2013,18.3,27.2,0
11/09/2013,19.1,28.9,0
12/09/2013,15.6,28.9,0
13/09/2013,14.7,30.2,0
14/09/2013,15.6,28.3,0
15/09/2013,15.1,27.4,
16/09/2013,12.5,29.3,
17/09/2013,14,31.4,0
18/09/2013,15.5,30.3,0
19/09/2013,12.9,31.2,0
20/09/2013,14.5,29.3,0
21/09/2013,15,32.3,0
22/09/2013,18.3,27.2,0
23/09/2013,15.6,29.7,0
24/09/2013,17.9,30.2,0
25/09/2013,17.1,33.3,0
26/09/2013,19.3,34.1,0
27/09/2013,19.1,35.3,0
28/09/2013,16.4,32.1,0
29/09/2013,18.1,30.2,0
30/09/2013,17.5,28.4,0
1/10/2013,18.6,29.3,0
2/10/2013,15.4,35.1,0
3/10/2013,18.1,36.9,0
4/10/2013,20.9,37.7,0
5/10/2013,19.9,38.3,0
6/10/2013,21.7,31.5,0
7/10/2013,18.5,30.9,0
8/10/2013,19.7,30,0
9/10/2013,19.6,35.6,0
10/10/2013,20.2,34.4,0
11/10/2013,19.5,35,0
12/10/2013,21.4,34.4,0
13/10/2013,19.9,36.3,0
14/10/2013,21.1,38.4,0
15/10/2013,22.5,38.7,0
16/10/2013,20.8,40.7,0
17/10/2013,20,34.6,0
18/10/2013,20.6,35.6,0
19/10/2013,22.3,40.6,0
20/10/2013,22.2,35.5,0
21/10/2013,23,35.5,0
22/10/2013,23,34.3,0
23/10/2013,20.5,34.4,0
24/10/2013,21,37,0
25/10/2013,25.1,39.6,0
26/10/2013,26.1,32.6,0
27/10/2013,22.2, ,6
28/10/2013, , ,
29/10/2013, ,33.8,
30/10/2013, ,36.3,
31/10/2013,23.7,33.5,0
1/11/2013,25.3,37.3,0
2/11/2013,26.5,33.6,0
3/11/2013,22.7,39,0
4/11/2013,24.6,43.5,0
5/11/2013,26.5,44.8,0
6/11/2013,26,33,0
7/11/2013,23,36,0
8/11/2013,24.3,38.1,0
9/11/2013,22.9,37.2,0
10/11/2013,22.2,36.3,0
11/11/2013,24.2,37.5,0
12/11/2013,24.5,37.2,0
13/11/2013,23.9,39.1,0
14/11/2013,22.9,41.4,0
15/11/2013,25.7,32.7,0
16/11/2013,26.3,34.2,0
17/11/2013,25.7,33,0
18/11/2013,24.6,35.3,0
19/11/2013,22.7,35.6,0
20/11/2013,21.4,31.7,0
21/11/2013,20.4,30.9,0
22/11/2013,21.7,31.8,0
23/11/2013,21.3,31.1,0
24/11/2013,21.5,30.7,0
25/11/2013,21.8,30.9,0
26/11/2013,23.5,30.8,0
27/11/2013,22.3,30.1,0
28/11/2013,21.9,30.5,0
29/11/2013,22.7,30.2,0
30/11/2013,22.9,33.5,0
1/12/2013,23.4,34.7,0
2/12/2013,23.2,30.3,0
3/12/2013,22.4,32.1,0
4/12/2013,23.9,32.1,0
5/12/2013,24.4,32.7,0
6/12/2013,25,32.8,0
7/12/2013,24.1,32.4,0
8/12/2013,24.1,33.2,0
9/12/2013,25.7,34.9,0
10/12/2013,25.4,37.3,0
11/12/2013,24.4,35.7,0
12/12/2013,25.4,38.4,0
13/12/2013,26.2,38.6,0
14/12/2013,28,41.4,0
15/12/2013,26.2,36.6,0
16/12/2013,25.9,36.6,0
17/12/2013,25.6,37.8,0
18/12/2013,28.2,36.4,0
19/12/2013,27.7,40.3,0
20/12/2013,28.1,44,0
21/12/2013,27.6,43.5,0
22/12/2013,26.2,33.7,0
23/12/2013,23.3,33.9,0
24/12/2013,23.4,36.8,0
25/12/2013,26.6,36.8,0
26/12/2013,27.8,40.7,0
27/12/2013,28.2,43,0
28/12/2013,28.4,43.5,0
29/12/2013,29.2,37.1,0
30/12/2013,30.2,31.9,0
31/12/2013,23.2,30.7,112.8
1/01/2014,23.3,31.6,2.4
2/01/2014,22.8,37,0
3/01/2014,24.7,35.9,0
4/01/2014,27.7,39.2,0
5/01/2014,26.6,42.7,0
